test_id,tarea,model_id,timestamp_utc,latency_seconds,prompt_tokens,completion_tokens,total_tokens,success,api_success,json_valid,error_message
test_001,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-25T01:58:58.636017+00:00,1.672,2909,562,3471,True,True,True,
test_001,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-25T01:59:02.756646+00:00,3.816,2377,1953,4330,True,True,True,
test_001,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-25T01:59:05.699551+00:00,2.641,4411,1508,5919,True,True,True,
test_001,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-25T01:59:09.190839+00:00,3.189,6157,1644,7801,True,True,True,
test_001,prompt_4_json_final,llama-3.1-8b-instant,2025-04-25T01:59:14.503321+00:00,5.01,7967,2815,10782,True,True,True,
test_002,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-25T01:59:16.170734+00:00,0.858,2562,400,2962,True,True,True,
test_002,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-25T01:59:18.632408+00:00,2.159,2030,1413,3443,True,True,True,
test_002,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-25T01:59:20.199752+00:00,1.265,3480,576,4056,True,True,True,
test_002,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-25T01:59:22.786183+00:00,2.284,4267,1440,5707,True,True,True,
test_002,prompt_4_json_final,llama-3.1-8b-instant,2025-04-25T01:59:29.450548+00:00,6.362,5888,4096,9984,True,True,True,
test_003,prompt_0_filtrado,llama-3.1-8b-instant,2025-04-25T01:59:31.510944+00:00,1.253,1785,328,2113,True,True,True,
test_003,prompt_1_elementos_basicos,llama-3.1-8b-instant,2025-04-25T01:59:32.715490+00:00,0.903,1253,456,1709,True,True,True,
test_003,prompt_2_citas_datos,llama-3.1-8b-instant,2025-04-25T01:59:33.542649+00:00,0.526,1751,145,1896,True,True,True,
test_003,prompt_3_relaciones,llama-3.1-8b-instant,2025-04-25T01:59:34.668318+00:00,0.824,2122,407,2529,True,True,True,
